date,abstract,rating,workLifeBalance,cultureAndValues,careerOpportunities,compensationAndBenefits,seniorManagement,authorJobTitle,tenure,pro,con
"December 17, 2018",Best work place,5.0,4.0,5.0,5.0,4.0,5.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Transparent system which makes one feel better in interacting with cross functions.,Nothing much to say as it depends on individuals
"December 18, 2018",Good Place to learn,4.0,3.0,4.0,4.0,3.0,4.0,Current Employee - NOC Engineer,I have been working at Bharti Airtel full-time for more than a year,"Awesome for learning, Multi-Technology based ISP, So you can learn multiple technologies in a short time with hands-on experience.","Low Salary, Unbalanced life due to rotational shifts"
"December 12, 2018",all star,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - ISP Engineer,I have been working at Bharti Airtel full-time for more than a year,netwrok monitoring & stablishment of fiber for better India,"hardwork ,dedication & knowledge focus"
"December 14, 2018",good company,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,nice work culture and work life balance,nothing which can be tell on this platform
"December 10, 2018",Awesome place to work at,5.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Employee friendly environment and facilities provided,"Too much politics, favouritism, low growth"
"December 6, 2018",marketing manager,5.0,4.0,5.0,5.0,4.0,3.0,Former Employee - Marketing Manager,I worked at Bharti Airtel full-time for more than a year,"immense learning opportunity, good opportunity to grow","Every company has some or the other cons, its generally the same."
"December 10, 2018",Lead Service delivery,4.0,3.0,3.0,3.0,3.0,3.0,Current Employee - NOC Engineer,I have been working at Bharti Airtel full-time for more than 3 years,Good Experience to enhance knowledge,No comments for this field
"November 23, 2018",Airtel Payments Bank Review,4.0,4.0,3.0,,,,Current Employee - Java Developer,I have been working at Bharti Airtel full-time for less than a year,"Great and quick learning for java developers, Opportunities to use new technologies , start up type culture so large spectrum to contribute towards project",Unstructured things and some casual upper management
"December 22, 2018",Airtel Senior Developer,3.0,3.0,3.0,4.0,3.0,4.0,,I have been working at Bharti Airtel  for less than a year,Flexible Work Culture  A bit like Product based comp,High expectations   Low Employee Centric Policies
"December 22, 2018",About Bharti Airtel,3.0,1.0,3.0,3.0,4.0,2.0,Former Employee - NMT Engineer,I worked at Bharti Airtel full-time for less than a year,I was getting good compensation for work,Heavy pressure from the top managements as well as from immediate top managemnt
"December 6, 2018",Great organization,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Network Engineer,I have been working at Bharti Airtel full-time for more than 3 years,Good for learning new technologies,Salary issues need to taken care
"December 4, 2018",Territory sales manager,5.0,3.0,5.0,5.0,5.0,4.0,Current Employee - Territory Manager,I have been working at Bharti Airtel full-time for more than 3 years,Its a emplyoee friendly company ...seniors are very supportive upper managment is well versed with knowledge..,No cons i am satisfied with everything here
"December 18, 2018",average,3.0,3.0,4.0,3.0,3.0,2.0,Former Employee - Executive,I worked at Bharti Airtel full-time for less than a year,good culture; a happy place to work,pay scale is low; growth is stagnant
"December 17, 2018",Salary increments are not good,3.0,3.0,3.0,4.0,4.0,3.0,Former Employee - R&D Engineer,I worked at Bharti Airtel full-time for more than a year,"good work culture, Policies based company",Salary increments are not so good
"December 1, 2018",Good,4.0,,,,,,,I have been working at Bharti Airtel ,Market leader and learning part,Slow growth in industry now
"December 14, 2018",Revenue Assurance Analyst (Executive),3.0,2.0,4.0,3.0,1.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than a year,"●  Exposure to Corporate Culture  ●  Tag of working in MNC   ● Basic learning of telecom concepts  ● Intermediate learning in MS-Excel, MS-Access and SQL  ● Experience in making presentations and basic data analyses and trends.  ● Handset reimbursement, Mobile and DTH corporate plans.  ● 5 days working.",● Work to Life balance is poor.  ● No overtime.  ● Most compliances and activities are outdated.  ● Late promotions and less hike as compared to current market trends.  ● No respect for employees.
"December 14, 2018",Bhrati Airtel,2.0,1.0,1.0,3.0,1.0,2.0,Former Employee - Store Manager,I worked at Bharti Airtel full-time for more than a year,Before it was good but timing is +10 hours always now 12 hours mandatory,Sales pressure if you achieve target also there will be pressure
"November 29, 2018",Nice company,4.0,4.0,2.0,4.0,3.0,3.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than a year,Sales job a good job,Other telecom line down the market
"December 13, 2018",Not worth it anymore,2.0,1.0,2.0,2.0,5.0,1.0,Former Employee - Senior Product Manager,I worked at Bharti Airtel full-time for more than 10 years,Higher pay is the only pro,Employees are a scapegoat of the intense competition
"November 28, 2018",Territory sales manager,4.0,4.0,5.0,3.0,3.0,4.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for less than a year,Recommend Good culture Freedom Positive authority,Nothing cons. Good work life balance here
"November 27, 2018",Nice Place to learn,4.0,,,,,,,I have been working at Bharti Airtel ,"Good place to work, and to learn managment skills",very busy schedule and fire fighting
"November 25, 2018",Team leader,5.0,5.0,5.0,5.0,1.0,5.0,Current Employee - Team Leader,I have been working at Bharti Airtel full-time,Best working place in telecom sector and best opprtunity to growth on,Best place for working salary too
"November 26, 2018",Very good experience,5.0,2.0,4.0,4.0,4.0,4.0,Current Employee - Assistant Manager,I have been working at Bharti Airtel full-time for more than 8 years,Very good management also take care about every emloyee growth,Not find any challenges as senoir always guide well to overcome every challenges
"December 31, 2018",Pathetic,1.0,1.0,3.0,1.0,1.0,4.0,,I worked at Bharti Airtel  for more than a year,"Top management is good, team bondong at the same level is great.",Salary is poor  Work life balance is not there  Middle management will surely destroy the companies ethics.  People at middle management are selfish.
"December 9, 2018",Good for learning,3.0,2.0,3.0,3.0,2.0,2.0,Current Employee - Network Engineer,I have been working at Bharti Airtel full-time for more than 3 years,Good for learning at initial level,Very less salary hike .
"December 9, 2018",Good company to work,3.0,4.0,4.0,3.0,4.0,3.0,Former Employee - Key Account Manager,I worked at Bharti Airtel full-time for more than a year,1. Employee benefits  2. structured  3. Nice office,1. Less growth opportunities.  2. Little politics
"November 24, 2018",Relationship manager,4.0,2.0,2.0,4.0,2.0,3.0,Current Employee - Relationship Manager,I have been working at Bharti Airtel full-time for more than a year,Reason behind everyone learn about how to lead the business,Focus on your future work as a lion
"December 8, 2018",SCM,2.0,2.0,2.0,2.0,4.0,1.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Very few. Good exposure. Good people.,"Top management, work life balance, work culture, projects , processes"
"December 7, 2018",Good,3.0,3.0,3.0,3.0,3.0,3.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than a year,Good  company to work  all set,Nothing Bad in Company All good
"December 7, 2018",OK OK politics in promotions,2.0,5.0,1.0,1.0,1.0,1.0,Former Employee - Network Engineer,I worked at Bharti Airtel full-time for more than 3 years,Security of the employees are best best managing scheme infrastructure nice,👽  igo  in team member  And very bad
"December 6, 2018",Terrtory manager,3.0,1.0,4.0,2.0,3.0,2.0,Former Employee - Senior Executive,I worked at Bharti Airtel full-time for more than 3 years,HR policy  Good company among all other Telecom companies in India,Work life balance  Late action  Mid level management
"November 21, 2018",Technical,5.0,3.0,4.0,5.0,4.0,4.0,Former Employee - Senior Executive,I worked at Bharti Airtel full-time for more than 3 years,"Great place to work, technical skills get sharped.",Work life balance need to improve
"November 21, 2018",Ok,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than 8 years,Great And good place to stay and work,Nothing as special for negative side
"November 21, 2018",Good place to work with,4.0,4.0,4.0,4.0,4.0,4.0,Former Employee - Zone Manager,I worked at Bharti Airtel full-time for more than 3 years,Culture talent development freedom benefits recognition,"Political ,not process oriented ,people centric roles"
"December 5, 2018",Head Network Services,3.0,2.0,2.0,3.0,4.0,1.0,Former Employee - Head Network Services,I worked at Bharti Airtel full-time for more than 5 years,3rd Largest Operator in the World & great team to work with,More of group centric with very little delegation at OpCos
"November 19, 2018",Airtel is very good company to work with,5.0,4.0,5.0,4.0,3.0,3.0,Current Employee - Territory Sales Manager,I have been working at Bharti Airtel full-time for more than 3 years,Great organisational culture to work with,Incentive policy is not as per
"November 18, 2018",Best place to work and learn from seniors.,5.0,4.0,5.0,5.0,4.0,5.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,You will be able to receive a  plenty of knowledge.  Top 3 Telecom MNC with a brand value.  One of the best working culture among all other competitors.  Freshers will be able to receive a good amount of knowledge.  Management is really good.,Guidance in the initial stage is little less.  Most of the time you have to be in formals.
"November 18, 2018",Decent,4.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel part-time,Good working environment.    Decent pay and incentives.,Limited growth.    Not enough opportunities.    Bhopal is a small city.
"December 22, 2018",Executive,1.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Dont like airtel very dishonest,Very bad airtel shame on
"November 15, 2018",Good experience,5.0,4.0,4.0,4.0,4.0,4.0,Former Employee - For Sale and Distribution (ASM),I worked at Bharti Airtel full-time for more than 10 years,good learning and work to place area,i think no  any down side
"November 15, 2018",Planning and Forecasting,5.0,3.0,4.0,5.0,4.0,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than a year,Great place to work.  You will have a lot to learn and do. One thing about the BPA is that you must be extremely good with excel to cope.,Which they can adopt more Analytical tools to reduce dependence on excel.
"November 15, 2018",Best Indian Telecom Company to work. Jio is making our life difficult,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Territory Sales Manager,I have been working at Bharti Airtel full-time for less than a year,Good Work Culture. Your personal attention is taken care of as well. Teammates are really cooperative. Superiors are kind. A good plateform to learn.,Totally Field job. Low Salary
"November 14, 2018",Regarding Bharti airtel,4.0,3.0,4.0,3.0,4.0,2.0,Current Employee - Retail Store Manager,I have been working at Bharti Airtel full-time for less than a year,"Good work atmosphere, opportunities are there for bosting your salary","Not friendly, Management is horrible,You will not get any responses until you dont bother for 2/3 follow ups"
"November 13, 2018",Amazing organization,4.0,3.0,4.0,4.0,3.0,3.0,Former Employee - Telecommunications Specialist,I worked at Bharti Airtel full-time for more than 8 years,Cross function exposure is appreciated,Inter circle movement restrictions rigid
"November 6, 2018",Overall good experience,5.0,,,,,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Work life balance.  Salary is good.,I don't think there is any.
"November 6, 2018",product manager,5.0,5.0,5.0,3.0,3.0,5.0,Current Employee - Product Manager,I have been working at Bharti Airtel full-time for more than 3 years,supportive and innovative team culture,tiring job and a little bit of monotonous
"December 10, 2018",Manager,1.0,1.0,1.0,1.0,2.0,1.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 5 years,no pros its not a company to join,"Job security, Biased management, No growth"
"November 4, 2018",Asst Manager,4.0,5.0,5.0,3.0,4.0,5.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Most positions require certain skills that are advertised on the Job Posting. If you are hired to perform certain tasks then you should have the skills. Improving your skills along the way is also expected.,Employers and managers like to have people working with them and for them who can get along with their colleagues and who can work with others effectively in different circumstances.
"November 16, 2018",Manager,3.0,3.0,4.0,4.0,1.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Nice company to work with. People are Helpful.,Increment and incentives are low
"November 2, 2018",good,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Web Designer,I have been working at Bharti Airtel part-time for more than a year,i want to develop my skill more..,good employer and choose jobs for an experience
"November 2, 2018",Good company,5.0,4.0,4.0,4.0,3.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Work life balance  Good appraisal  career opportunities,Mis management from managers  Follow scrum
"November 1, 2018",Best Telecom,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,"Culture, DNA, Brand, Work ..everything means everything",None as far as organization is concerned
"October 31, 2018",document varificator,4.0,3.0,5.0,4.0,4.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,for good job and well social strength,well planned infrastructure and work ebility
"November 13, 2018",work life,3.0,3.0,4.0,2.0,4.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 3 years,"strong hr < salary & Expenses is on time , learning is good","No future  inn this company now , nothing is left for other verticals like telemedia."
"October 25, 2018",Average,5.0,3.0,1.0,3.0,3.0,1.0,Current Employee - Networking Engineer,I have been working at Bharti Airtel full-time for more than a year,"Good learning environment, multi vendor learning platform",No carrier growth after jio
"October 25, 2018",Business Manager,4.0,2.0,5.0,5.0,3.0,3.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Great learning  Amazing mentors  Prepares  you to work almost anywhere,work can get to your head- low work life balance
"November 28, 2018",admin executive,1.0,1.0,3.0,1.0,1.0,3.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than a year,"very good company to work with, good leader ship","nothing to share, great company to work with"
"October 21, 2018",Facility Manager,5.0,,,,,,,I have been working at Bharti Airtel ,Excellent Corporate Culture and unlimited opportunity,Initiative and Innovation towards process and cost control
"October 20, 2018",Network engineer,4.0,,,,,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for less than a year,It is very good for learn new.,No Cons for this organisation.
"November 3, 2018",Store manager,2.0,1.0,3.0,2.0,2.0,2.0,Current Employee - Store Manager,I have been working at Bharti Airtel full-time,1.On time salary  2. Big name in industry,1. No work life balance in the store profile.  2.huge  sales pressure  3. Internal politics  4. Too much parameter to drive.
"November 2, 2018","Fast paced, non-employee friendly company",3.0,2.0,2.0,3.0,3.0,2.0,Former Employee - General Manager,I worked at Bharti Airtel full-time for more than 8 years,"Fast Paced, goo brand name",No Job Security  Ruthless and non employee friendly company
"November 1, 2018",Average,3.0,1.0,2.0,2.0,2.0,1.0,Current Employee - Executive,I have been working at Bharti Airtel full-time for more than a year,"Good incentives like phone allowance, dth and broadband.  Transportation facility","No work life balance.  Poor increments.  Internal job movement is fully messed up, only if you have referral then talent really does not matters.  Politics.  Anti poaching policies.  Work Pressure."
"October 16, 2018",Great place to work,5.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 5 years,"Great place to work - gives lot of autonomy, growth and career opportunities given the large size",Changing priorities because of the telecom competitive scenario
"October 17, 2018",Company Review,4.0,1.0,1.0,3.0,4.0,3.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time, very challenging  - learn to work with minimal support  - Can do attitude to business approach, no work life balance  - employee say doesn't matter
"October 30, 2018",M in prepaid sales,3.0,4.0,2.0,3.0,2.0,2.0,Current Employee - ASM In Prepaid Sales,I have been working at Bharti Airtel full-time for more than 3 years,1.  Work life balance  2. Culture,1. Hr is not good  2. Growth is stagnant  3. Huge loby
"October 29, 2018",Area sales manager,3.0,3.0,3.0,2.0,3.0,3.0,Former Employee - AREA SALES MANAGER,I worked at Bharti Airtel full-time for more than 3 years,A great place to be a team member. Team work is the name of the game,Career opportunities/growth are limited. Salary disparity between staff with same job description is discouraging. While some employee's are poorly paid others are well paid for same role
"October 26, 2018",Too much Politics,3.0,4.0,3.0,3.0,2.0,2.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than 3 years,Learning and exposure is good depends on what project you get,KRA and appraisals are a big joke
"October 12, 2018",ZBM,4.0,3.0,5.0,4.0,5.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 5 years,"Transparency,Work Culture,Ethical,Many new things to learn,Employee friendly",Too many KPIs..... Attrition has shot up
"October 12, 2018",Good organisation to work for!,4.0,3.0,3.0,3.0,4.0,4.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 5 years,Independence to work  Supportive  Great leadership  Good payscales,Late working hours  less holidays  no formal career path
"October 12, 2018",Good company,4.0,1.0,4.0,5.0,4.0,5.0,Former Employee - Store Manager,I worked at Bharti Airtel full-time for more than a year,good platform to work  Lots of learning,No work life balance
"November 16, 2018",Low Quality salary,1.0,1.0,2.0,1.0,1.0,5.0,Former Employee - Customer Service Representative,I worked at Bharti Airtel full-time for more than a year,Not a good work. Because job not sure,Network not improve and give some target
"October 26, 2018",best company for learning,2.0,1.0,2.0,2.0,2.0,1.0,Former Employee - Territory Sales Manager,I worked at Bharti Airtel full-time for more than 3 years,Best palace where you learn many things.,no time for personal life.
"October 25, 2018",Internship,3.0,3.0,4.0,2.0,2.0,3.0,Internship,I worked at Bharti Airtel  for less than a year,Great infrastructure and facilities. Overall helpful staff and well managed.,You don't really get to learn a lot unless you are an employee. Work culture is a bit bland and growth is pretty limited.
"October 25, 2018",Tough work,3.0,1.0,1.0,3.0,2.0,2.0,Junior Network Engineer,I have been working at Bharti Airtel ,"Timely salary , Supportive management","24×7 work , No vacation, No extra costing"
"October 10, 2018",Service assitant manager,4.0,,,,,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 3 years,We are working as a Good team,Good efforts and acheiving a target
"October 5, 2018",Currently working in b2b sales,5.0,1.0,5.0,5.0,4.0,3.0,Current Employee - Key Account Manager,I have been working at Bharti Airtel full-time for more than a year,"Great culture, environment and people. Got a chance with talented and hard working people...","High pressure, promotions, working hours"
"October 23, 2018",good for experience,3.0,2.0,4.0,3.0,4.0,4.0,Former Employee - Customer Service Manager,I worked at Bharti Airtel full-time for less than a year,the training over here is good and very helpful,the quality team is a bit bad at giving feedback
"October 22, 2018",Assistant manager Sales,3.0,4.0,4.0,3.0,4.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than a year,"Freedom to work, Work life balance, learning","No Career development, Vague HR support  service"
"October 5, 2018",Sr. Executive,4.0,3.0,3.0,3.0,2.0,3.0,Current Employee - Senior Executive,I have been working at Bharti Airtel full-time for more than 8 years,Good to have Work experience,Salary Increments are very less.
"October 5, 2018",Senior Manager,4.0,5.0,5.0,4.0,4.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Good work life balance  Appreciation for work,Nothing found as cons for airtel
"October 5, 2018",Knowledge,4.0,4.0,2.0,4.0,3.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Best knowledge is the best practice.,Work Pressure in starting only.
"October 18, 2018",Good brand with potential to outforce recent turbulence in Telecom,3.0,4.0,4.0,3.0,3.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 3 years,"Culture, work-life balance, on time payment","Shift from executive to managerial role really takes time, process of  nurturing talent is missing"
"October 17, 2018",Has cultural biases,3.0,3.0,3.0,,,,Former Employee - Africa Senior Manager IT,I worked at Bharti Airtel full-time for more than a year,Global outlook and has opportunity for growth,Places too much focus on Indian staff over their Africa counterparts when it comes to day to day operations. The bias against African staff is numbing  Too much retrenchments...almost annually
"October 1, 2018",5/5,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - IT Operations,I have been working at Bharti Airtel full-time for more than 8 years,"good company, good people, best management team","growth, develop the skills, carrier implement"
"October 1, 2018",Fast-paced Company,4.0,5.0,5.0,4.0,4.0,4.0,Former Employee - Senior Manager,I worked at Bharti Airtel full-time for more than 10 years,1. Company offers exposure to lot of new learnings  2. Employee's of this company enjoy a good work life balance  3. Adapts to change really fast.,Long tenured employee's or older employee's are looked at as a burden. While the company keeps denying it. Have seen this happen to several colleagues
"September 30, 2018",Good place to work,5.0,4.0,5.0,4.0,5.0,3.0,Former Employee - Executive,I worked at Bharti Airtel full-time for more than 3 years,"Good benefits like wk offs, leaves, on time salary and work culture and friendynes environment","Can't expect much salary hikes , working hrs are more than assigned and difficult life balance..."
"September 30, 2018",Senior Manager,4.0,4.0,4.0,4.0,3.0,4.0,Current Employee - Senior Manager,I have been working at Bharti Airtel full-time for more than 10 years,"Good Company, lots of learning, Huge exposure.",parking facility is less and change the Food Vendor every six months.
"September 30, 2018",The role exposed me to various areas of the business and sharped my entrepreneurial skills,4.0,,,,,,,I worked at Bharti Airtel ,Provide opportunities to learn new skill,Fast pace and very dynamic
"October 14, 2018",Poor Work Culture,2.0,5.0,1.0,1.0,2.0,1.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 3 years," Talented, hard-working co-workers  - Unfortunately the list ends here", Very poor hikes  - Company only believes in short term thinking  - Very rude facilities management staff  - No parking available (need to park about 800 metres away)
"September 26, 2018",good,5.0,4.0,4.0,5.0,4.0,4.0,,I have been working at Bharti Airtel  for more than a year,good to work in here,not so bad as many other comapnies
"October 10, 2018",Accounts,3.0,,,,,,,I worked at Bharti Airtel ,Good working environment and career development,Compensation is too low and doesn't match ones input
"October 9, 2018",Great Organisation but poor Management,3.0,1.0,4.0,4.0,4.0,1.0,Former Employee - TSM,I worked at Bharti Airtel full-time for more than a year,Everything except the management system,"Lower level managers are treated like dust, No one listens to them as if they are there to be only scarified"
"October 9, 2018",Not a bad place for internship,3.0,,,,,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,A lot of scope to learn about the Telecom Industry,They are a little hard on employees who are off-roll
"September 24, 2018",Operation Analyst,5.0,4.0,3.0,3.0,2.0,,Former Employee - Product Support Engineer,I worked at Bharti Airtel full-time for more than 3 years,Nice place. You work individually but in synchronous with teams to achieve company goal. Culture is friendly and supportive. You get to learn many things.,There is no management support to employee...
"September 24, 2018",About Bharti Airtel,5.0,4.0,5.0,5.0,4.0,4.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than a year,The work culture here is good providing good job opportunities to every employee and encouraging women empowerment,"Long working hours, should be located in good location near to gurgaon"
"October 30, 2018","Manager, Warehouse & logistics",1.0,3.0,3.0,3.0,3.0,,Former Employee - Warehouse,I worked at Bharti Airtel full-time for more than a year,Good place to work at.,Unfortunately the company has been merged with Tigo and most of us have been declared redundant.
"September 24, 2018",Team lead,4.0,1.0,2.0,1.0,2.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Good to learn corporate poltics,in addition to working there are many other factors are being consider during rating
"September 23, 2018",Working with Airtel from last 2 years,5.0,3.0,5.0,3.0,5.0,3.0,Current Employee - Store Manager,I have been working at Bharti Airtel full-time for more than 3 years,"Its a good multinational brand, good facilities for the employee, best learning experience..!!!","Wrkng hrs are too high..,, & Growth is very slow..!!"
"October 8, 2018",Finance Analyst,2.0,2.0,1.0,2.0,,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for less than a year,"no strict timings,infra is very good","poor management, favourism, not much growth if spend a long time in same team...will have to take internal movements for timely  growth."
"October 7, 2018",the company is good to work for,3.0,2.0,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than a year,very good benefits when in management,not very good benefits for other employee
"October 7, 2018",KAM,2.0,3.0,2.0,3.0,4.0,2.0,Current Employee - Kam,I have been working at Bharti Airtel full-time for less than a year,Process orientation and good pay,"Politics, not at all employee friendly"
"September 22, 2018",Startup Kind of work environment expected if you join,4.0,1.0,3.0,4.0,4.0,3.0,Current Employee - Principal Engineer,I have been working at Bharti Airtel full-time for more than 3 years,"Good infrastructure, stability of job, great salary hikes, plenty of leaves or work from home.","No Work life balance, multiple team coordination mess, telecom culture even if it is an IT company now and favoritism is expected."
"October 6, 2018",Secure company to work with,3.0,3.0,2.0,1.0,2.0,2.0,Current Employee - Retail Channel Sales,I have been working at Bharti Airtel full-time for more than 10 years,"Job security, company is long term focused","Career growth is nil,senior management is self focused most of the time"
"September 21, 2018",Good company to work for,5.0,3.0,3.0,4.0,3.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,work satisfaction  .Women friendly . Employee benefits are a plus.,"Month ends are tough . salary hike is below industry standards ,"
"September 20, 2018",Intern,5.0,2.0,2.0,4.0,3.0,2.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Learned a lot during my duration,Pure Indian culture (need improvement)
"October 5, 2018",Overall Experience,2.0,2.0,1.0,4.0,1.0,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than a year,"I have been working for Bharti Airtel for more than a year. It one of the better companies to work for in Indian Telecom Industry, as the salary is better than most.  Organisation do takes care of it's employees well in terms of perquisites & Other benefits.",Career growth depends on the rapport with the senior management  Lots of process flaws are there which company does not address on time
"September 18, 2018",Manager,5.0,,,,,,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for more than 8 years,"Great working environment, honest and proactive.",Looking for more challenging opportunities
"September 17, 2018",Good environment,4.0,3.0,5.0,4.0,5.0,5.0,Former Employee - Activation Manager,I worked at Bharti Airtel full-time for more than 3 years,"Work environment is good, sallary pay in timely",I have great experience to work in airtel
"September 16, 2018",Fantastic Work Culture,5.0,5.0,5.0,3.0,3.0,5.0,Former Employee - Assistant Manager,I worked at Bharti Airtel full-time for more than a year,"Fantastic, Nice, Fun Loving, Flexible, Challenging",Recently Company  has split.
"September 14, 2018",great place to work,5.0,,,,,,,I worked at Bharti Airtel ,always challenged and exciting opportunities.,not that much extensive training
"September 14, 2018",Young Leader Program is GREAT,4.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time, Pushes you beyond your comfort zone early into your career  - The projects are not just for name sake. You get to learn a lot, Some seniors don't like devoting time to trainees as the trainee will be shifted elsewhere after 6 weeks and thus some seniors see trainees as a waste of time
"September 28, 2018",Good,3.0,2.0,2.0,3.0,3.0,2.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Good for job I have,Thank goodness for my new job
"September 27, 2018",No Tech Work,2.0,5.0,3.0,1.0,5.0,2.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Good pay  Good facilities  Good perks  Flexi timing   Work life balance,No tech job.  No learning   Lot of politics
"September 9, 2018",company,5.0,2.0,2.0,4.0,5.0,3.0,,I have been working at Bharti Airtel ,good to learn here in bharti airtel,i not found any negative
"September 9, 2018",Anonymous,4.0,3.0,5.0,4.0,5.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than a year,Best organisation to learn   Support in every manner   Timely response and salary,Too much pressure  Needs to value each employee
"September 6, 2018",Senior Manager,4.0,2.0,4.0,4.0,4.0,3.0,Former Employee - Senior Manager,I worked at Bharti Airtel full-time for more than 5 years,"Stability in the Company, Lot of opportunity to learn and grow.","Bad work life balance, long working hours."
"September 5, 2018",Account Manager,4.0,2.0,2.0,5.0,5.0,2.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,"Good salary, freedom and networking",High pressure and not a good culture
"September 4, 2018",Territory Sales manager,4.0,4.0,4.0,4.0,4.0,3.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time,Great work life and career,No cons so you can join
"September 18, 2018",Good place to work,3.0,3.0,3.0,3.0,3.0,3.0,Current Employee - Manager,I have been working at Bharti Airtel full-time for more than a year,Good work culture and rewarding career.Good good good,"Management can be good. its just a thought, Good good good"
"September 3, 2018",salary,5.0,5.0,5.0,5.0,5.0,5.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Very professional Organisation to work with.,No cons for the organisation.... .....
"October 8, 2018",Great Company with full of politics and corruption,1.0,1.0,3.0,2.0,2.0,1.0,Former Employee - Manager,I worked at Bharti Airtel full-time for more than a year,Great Brand Name  Employee Friendly Policies,No work life balance  Biased review and rewards  Full of Corruption- opposing means time to fire or search for a new job  No power in lower management. Need to escalate to top management for disciplinary actions.  Full of politics and lobbies- Relationship is preferred over talent.
"September 1, 2018",Good Employer,4.0,3.0,3.0,2.0,4.0,3.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than 3 years, empowerment  - bias for action  - salary and perks, HR processes need to evolve much more  -  Some low caliber leaders in HR
"September 15, 2018",Good Company but people are not trustworthy,3.0,1.0,2.0,3.0,3.0,1.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than 3 years,Good Employee Culture  Good Faciluties given to employees,Unhealthy Management Team  Selfish Leaders  Low Growth
